Color,Paint,Gage,GroovedEmbossed,GroovedSmooth,SilklineEmbossed,SilklineSmooth,MicroribbedEmbossed,MicroribbedSmooth,Embossed,Smooth
Blanc Régal/Regal White,PVDF CLASSIC,22,52.25,52.25,52.25,52.25,52.25,52.25,24',24
Blanc Régal/Regal White,PVDF CLASSIC,24,52.25,52.25,52.25,52.25,52.25,52.25,NA,NA
Blanc Régal/Regal White,PVDF CLASSIC,26,52.25,52.25,52.25,52.25,52.17,52.25,NA,NA
Blanc Brillant/Bright White,SMP CLASSIC,22,52.25,52.25,52.25,52.25,52.25,52.25,24',24'
Blanc Brillant/Bright White,SMP CLASSIC,24,52.25,52.25,52.25,52.25,52.25,52.25,NA,NA
Blanc Brillant/Bright White,SMP CLASSIC,26,52.25,52.25,52.25,52.25,52.11,52.25,NA,NA
Blanc Impérial/Imperial White,METALLIC,22,52.25,52.25,52.25,52.25,52.25,52.25,24',24
Blanc Impérial/Imperial White,METALLIC,24,52.25,52.25,52.25,52.25,52.25,52.25,NA,NA
Blanc Impérial/Imperial White,METALLIC,26,52.25,52.25,52.25,52.25,49.81,50.1,NA,NA
Electric Yellow,PVDF SIGNATURE,22,52.25,52.25,52.25,52.25,52.25,52.25,24',24'
Electric Yellow,PVDF SIGNATURE,24,52.25,52.25,52.25,52.25,52.25,52.25,NA,NA
Electric Yellow,PVDF SIGNATURE,26,52.25,52.25,52.25,52.25,49.66,49.95,NA,NA
Blanc Pur/White white,SMP CLASSIC,22,52.25,52.25,52.25,52.25,52.25,52.25,24',24
Blanc Pur/White white,SMP CLASSIC,24,52.25,52.25,52.25,52.25,51.8,52.25,NA,NA
Blanc Pur/White white,SMP CLASSIC,26,52.25,52.25,52.25,52.25,48.89,49.19,NA,NA
Sable/Sandstone,PVDF CLASSIC,22,52.25,52.25,52.25,52.25,52.25,52.25,24',24'
Sable/Sandstone,PVDF CLASSIC,24,52.25,52.25,52.25,52.25,50.32,52.25,NA,NA
Sable/Sandstone,PVDF CLASSIC,26,52.08,51.27,52.08,51.27,47.9,48.19,NA,NA
Blanc os/Bone White,SMP CLASSIC,22,52.25,52.25,52.25,52.25,52.17,51.73,24',24'
Blanc os/Bone White,SMP CLASSIC,24,50.71,50.12,50.71,50.12,47.57,50.12,NA,NA
Blanc os/Bone White,SMP CLASSIC,26,49.44,48.37,49.44,48.37,45.84,46.09,NA,NA
